HOMETEAM,AWAYTEAM,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV
Liverpool,Norwich,4,1,H,4,0,H,11,2,0,2,1190000000,152350000,46660000,6350000,27.9,27.6,1.4,3,1.14,10,19,M Oliver
West Ham,Man City,0,5,A,0,1,A,1,1,2,2,338750000,1300000000,14110000,52190000,28.7,27.4,1.44,2.75,12,6.5,1.22,M Dean
Bournemouth,Sheffield United,1,1,D,0,0,D,3,4,2,1,343750000,119200000,11460000,4260000,26,28.3,1.9,1.9,1.95,3.6,3.6,K Friend
Burnley,Southampton,3,0,H,0,0,D,2,7,0,0,192750000,227000000,8030000,9870000,29.1,25.9,2.1,1.72,2.62,3.2,2.75,G Scott
Crystal Palace,Everton,0,0,D,0,0,D,6,2,2,1,232800000,480700000,9310000,19230000,28.8,27.3,2.2,1.66,3,3.25,2.37,J Moss
Watford,Brighton,0,3,A,0,1,A,5,2,0,1,234000000,214750000,7550000,8260000,27.6,27.8,2.1,1.72,1.9,3.4,4,C Pawson
Tottenham,Aston Villa,3,1,H,0,1,A,14,0,1,0,977000000,261900000,36190000,9700000,26.4,27,1.66,2.2,1.3,5.25,10,C Kavanagh
Leicester,Wolves,0,0,D,0,0,D,12,3,0,2,505250000,330800000,19430000,12720000,26.7,25.4,2.2,1.66,2.2,3.2,3.4,A Marriner
Newcastle,Arsenal,0,1,A,0,0,D,5,3,1,3,293830000,682750000,9180000,27310000,27.3,25.1,1.8,2,4.5,3.75,1.72,M Atkinson
Man United,Chelsea,4,0,H,1,0,H,3,5,3,4,744250000,844250000,29770000,32470000,25.8,26.3,2,1.8,2.1,3.3,3.5,A Taylor
Arsenal,Burnley,2,1,H,1,1,D,10,7,2,1,682750000,192750000,27310000,8030000,25.1,29.1,1.57,2.37,1.3,5.5,10,M Dean
Aston Villa,Bournemouth,1,2,A,0,2,A,10,5,0,2,261900000,343750000,9700000,11460000,27,26,1.8,2,2.3,3.4,3.1,M Atkinson
Brighton,West Ham,1,1,D,0,0,D,8,6,0,2,214750000,338750000,8260000,14110000,27.8,28.7,1.9,1.9,2.55,3.25,2.87,A Taylor
Everton,Watford,1,0,H,1,0,H,4,7,2,3,480700000,234000000,19230000,7550000,27.3,27.6,1.72,2.1,1.72,3.8,4.75,L Mason
Norwich,Newcastle,3,1,H,1,0,H,7,5,1,3,152350000,293830000,6350000,9180000,27.6,27.3,1.9,1.9,2.25,3.3,3.3,S Attwell
Southampton,Liverpool,1,2,A,0,1,A,5,9,2,1,227000000,1190000000,9870000,46660000,25.9,27.9,1.66,2.2,6.5,4.75,1.44,A Marriner
Man City,Tottenham,2,2,D,2,1,H,13,2,1,0,1300000000,977000000,52190000,36190000,27.4,26.4,1.53,2.5,1.36,5.25,8,M Oliver
Sheffield United,Crystal Palace,1,0,H,0,0,D,8,4,3,1,119200000,232800000,4260000,9310000,28.3,28.8,2.3,1.61,2.55,3.1,2.9,D Coote
Chelsea,Leicester,1,1,D,1,0,H,4,5,1,0,844250000,505250000,32470000,19430000,26.3,26.7,1.9,1.9,1.7,3.75,5,O Langford
Wolves,Man United,1,1,D,0,1,A,4,6,2,2,330800000,744250000,12720000,29770000,25.4,25.8,2.1,1.72,3.3,3.3,2.25,J Moss
Aston Villa,Everton,2,0,H,1,0,H,0,6,2,3,261900000,480700000,9700000,19230000,27,27.3,1.72,2.1,3.25,3.5,2.15,M Oliver
