,HOMETEAM,AWAYTEAM,FTHG,FTR,HTHG,HTAG,HTR,HC,AC,HY,AY,HOMETEAM_VALUE,AWAYTEAM_VALUE,HOMETEAM_AVG_VALUE,AWAYTEAM_AVG_VALUE,HOMETEAM_AVG_AGE,AWAYTEAM_AVG_AGE,B365OVER2_5,B365UNDER2_5,B365H,B365D,B365A,DIV,HOMETEAM_n,AWAYTEAM_n,HTR_n
0,Liverpool,Norwich,4,H,4,0,H,11,2,0,2,1190000000,152350000,46660000,6350000,27.9,27.6,1.4,3.0,1.14,10.0,19.0,M Oliver,9,13,2
1,West Ham,Man City,0,A,0,1,A,1,1,2,2,338750000,1300000000,14110000,52190000,28.7,27.4,1.44,2.75,12.0,6.5,1.22,M Dean,18,10,0
2,Bournemouth,Sheffield United,1,D,0,0,D,3,4,2,1,343750000,119200000,11460000,4260000,26.0,28.3,1.9,1.9,1.95,3.6,3.6,K Friend,2,14,1
3,Burnley,Southampton,3,H,0,0,D,2,7,0,0,192750000,227000000,8030000,9870000,29.1,25.9,2.1,1.72,2.62,3.2,2.75,G Scott,4,15,1
4,Crystal Palace,Everton,0,D,0,0,D,6,2,2,1,232800000,480700000,9310000,19230000,28.8,27.3,2.2,1.66,3.0,3.25,2.37,J Moss,6,7,1
5,Watford,Brighton,0,A,0,1,A,5,2,0,1,234000000,214750000,7550000,8260000,27.6,27.8,2.1,1.72,1.9,3.4,4.0,C Pawson,17,3,0
6,Tottenham,Aston Villa,3,H,0,1,A,14,0,1,0,977000000,261900000,36190000,9700000,26.4,27.0,1.66,2.2,1.3,5.25,10.0,C Kavanagh,16,1,0
7,Leicester,Wolves,0,D,0,0,D,12,3,0,2,505250000,330800000,19430000,12720000,26.7,25.4,2.2,1.66,2.2,3.2,3.4,A Marriner,8,19,1
8,Newcastle,Arsenal,0,A,0,0,D,5,3,1,3,293830000,682750000,9180000,27310000,27.3,25.1,1.8,2.0,4.5,3.75,1.72,M Atkinson,12,0,1
9,Man United,Chelsea,4,H,1,0,H,3,5,3,4,744250000,844250000,29770000,32470000,25.8,26.3,2.0,1.8,2.1,3.3,3.5,A Taylor,11,5,2
10,Arsenal,Burnley,2,H,1,1,D,10,7,2,1,682750000,192750000,27310000,8030000,25.1,29.1,1.57,2.37,1.3,5.5,10.0,M Dean,0,4,1
11,Aston Villa,Bournemouth,1,A,0,2,A,10,5,0,2,261900000,343750000,9700000,11460000,27.0,26.0,1.8,2.0,2.3,3.4,3.1,M Atkinson,1,2,0
12,Brighton,West Ham,1,D,0,0,D,8,6,0,2,214750000,338750000,8260000,14110000,27.8,28.7,1.9,1.9,2.55,3.25,2.87,A Taylor,3,18,1
13,Everton,Watford,1,H,1,0,H,4,7,2,3,480700000,234000000,19230000,7550000,27.3,27.6,1.72,2.1,1.72,3.8,4.75,L Mason,7,17,2
14,Norwich,Newcastle,3,H,1,0,H,7,5,1,3,152350000,293830000,6350000,9180000,27.6,27.3,1.9,1.9,2.25,3.3,3.3,S Attwell,13,12,2
15,Southampton,Liverpool,1,A,0,1,A,5,9,2,1,227000000,1190000000,9870000,46660000,25.9,27.9,1.66,2.2,6.5,4.75,1.44,A Marriner,15,9,0
16,Man City,Tottenham,2,D,2,1,H,13,2,1,0,1300000000,977000000,52190000,36190000,27.4,26.4,1.53,2.5,1.36,5.25,8.0,M Oliver,10,16,2
17,Sheffield United,Crystal Palace,1,H,0,0,D,8,4,3,1,119200000,232800000,4260000,9310000,28.3,28.8,2.3,1.61,2.55,3.1,2.9,D Coote,14,6,1
18,Chelsea,Leicester,1,D,1,0,H,4,5,1,0,844250000,505250000,32470000,19430000,26.3,26.7,1.9,1.9,1.7,3.75,5.0,O Langford,5,8,2
